time,open,high,low,close,ADX
1585130400,6500,6591.5,6500,6591.5,NaN
1585134000,6591.5,6628.5,6457.5,6511.5,NaN
1585137600,6511.5,6588.5,6502,6583.5,NaN
1585141200,6583.5,6745.5,6562,6585,NaN
1585144800,6585,6640,6516,6590,NaN
1585148400,6590,6662,6590,6615,NaN
1585152000,6615,6695.5,6601.5,6664.5,NaN
1585155600,6664.5,6677.5,6635.5,6650,NaN
1585159200,6650,6652.5,6592.5,6652.5,NaN
1585162800,6652.5,6671.5,6597.5,6622,NaN
1585166400,6622,6638,6573,6590,NaN
1585170000,6590,6602,6556,6588,NaN
1585173600,6588,6692.5,6588,6681,NaN
1585177200,6681,6698.5,6650,6698.5,NaN
1585180800,6698.5,6767,6698.5,6738.5,31.98870512303348
1585184400,6738.5,6738.5,6675,6688,30.316129980885165
1585188000,6688,6698,6655,6694,29.202629646496884
1585191600,6694,6742,6667.5,6726.5,31.117587624703347
1585195200,6726.5,6751,6678.5,6692,29.9395859012038
1585198800,6692,6708.5,6613.5,6625,27.495853276342956
1585202400,6625,6666,6585,6636,25.57880008884239
1585206000,6636,6636,6555,6582,23.79235728155026
1585209600,6582,6623.5,6566,6610.5,22.586422276272035
1585213200,6610.5,6641.5,6600,6616.5,23.374308789075155
1585216800,6616.5,6638.5,6585.5,6616,22.216191820222324
1585220400,6616,6665,6590,6598.5,23.13708643373585
1585224000,6598.5,6631,6571.5,6620.5,21.827838644499856
1585227600,6620.5,6675.5,6512,6626.5,18.696938884416262
1585231200,6626.5,6631.5,6582,6591.5,17.861621654164242
1585234800,6591.5,6615.5,6562.5,6611,16.986554117865328
1585238400,6611,6657.5,6594,6634.5,19.909039926405825
1585242000,6634.5,6675,6608,6630.5,20.302042058684474
1585245600,6630.5,6651.5,6626,6629.5,19.788770972422846
1585249200,6629.5,6667,6629.5,6656,20.61818411670483
1585252800,6656,6733,6655,6719,25.698826458343653
1585256400,6719,6749,6692,6713.5,25.838269990584266
1585260000,6713.5,6716,6670.5,6699,24.5949850020067
1585263600,6699,6760,6698.5,6733.5,27.668165918302243
1585267200,6733.5,6838,6733.5,6808.5,32.69271019767571
1585270800,6808.5,6821.5,6757.5,6799.5,30.53823804254196
1585274400,6799.5,6799.5,6756.5,6789.5,29.148358299947347
1585278000,6789.5,6799.5,6776.5,6789.5,28.40370802768302
1585281600,6789.5,6821.5,6732.5,6738,25.670802877304496
1585285200,6738,6740,6616.5,6653,22.443746787358663
1585288800,6653,6693.5,6638,6673.5,21.1566123789443
1585292400,6673.5,6720,6673.5,6702,22.91956745531785
1585296000,6702,6702,6670,6674.5,22.113266616188625
1585299600,6674.5,6685.5,6641,6648,21.006541013512546
1585303200,6648,6672,6595,6641,19.214561916229496
1585306800,6641,6686.5,6615,6617.5,19.298284083870012
1585310400,6617.5,6659,6585,6631,17.743809881002885
1585314000,6631,6643,6573,6591.5,16.39822050479559
1585317600,6591.5,6620,6582,6613,15.702085838753236
1585321200,6613,6651,6608.5,6621,18.48642622356013
1585324800,6621,6666,6591.5,6638.5,16.931607310997453
1585328400,6638.5,6652.5,6610,6632,16.099723612675902
1585332000,6632,6655,6625,6644,15.820098826835052
1585335600,6644,6680,6638,6655.5,18.070344871016793
1585339200,6655.5,6659,6634.5,6654.5,17.50416481697547
1585342800,6654.5,6676,6653.5,6670,19.248975811314565
1585346400,6670,6671.5,6642.5,6665,18.478084974188253
1585350000,6665,6665,6235,6354,11.270562658283437
1585353600,6354,6354,6196,6297,9.763570426031679
1585357200,6297,6298.5,6252,6268,9.36662649363402
1585360800,6268,6277.5,6240,6249.5,9.04718098878993
1585364400,6249.5,6254.5,6084.5,6118,7.755830261199285
1585368000,6118,6193,6090.5,6166.5,7.097982383929712
1585371600,6166.5,6183,6138.5,6158.5,6.827235843252183
1585375200,6158.5,6167,6119,6157,6.537561713749126
1585378800,6157,6189,6157,6177.5,8.376653804218224
1585382400,6177.5,6262.5,6162,6250,14.262815851661115
1585386000,6250,6279.5,6234,6246.5,15.24308929451427
1585389600,6246.5,6272,6218,6249.5,14.458865736433976
1585393200,6249.5,6300,6221.5,6231,16.039839108123704
1585396800,6231,6252.5,6206.5,6228,15.319237148297937
1585400400,6228,6241.5,6149,6217.5,13.960985924689147
1585404000,6217.5,6244,6212,6231.5,13.764382865960844
1585407600,6231.5,6268,6204.5,6208.5,15.301453327438713
1585411200,6208.5,6235.5,6193,6223.5,14.627108184855093
1585414800,6223.5,6228,6010,6010.5,11.763368698128609
1585418400,6010.5,6220,6010.5,6163.5,9.781432333215392
1585422000,6163.5,6224.5,6163,6212.5,9.656808664460726
1585425600,6212.5,6288.5,6212,6233.5,14.35198402549113
1585429200,6233.5,6255.5,6172.5,6212.5,13.361479441165887
1585432800,6212.5,6241,6176,6206.5,12.626544318838315
1585436400,6206.5,6247,6183.5,6230.5,12.452714475613687
1585440000,6230.5,6247,6185.5,6201.5,11.780573345872227
1585443600,6201.5,6219.5,6184,6208,11.398129268304812
1585447200,6208,6219.5,6195,6196,11.12959284276091
1585450800,6196,6204.5,6184,6197,10.898227682213994
1585454400,6197,6202.5,6190,6197.5,10.751461157250496
1585458000,6197.5,6198,6140.5,6141,10.079052411877651
1585461600,6141,6157,6129.5,6146,9.764519375803026
1585465200,6146,6163,6107.5,6146.5,9.144304450546196
1585468800,6146.5,6146.5,6084.5,6124,8.495153132538519
1585472400,6124,6125,6075,6080.5,8.001812768824944
1585476000,6080.5,6204.5,6080.5,6177,15.536078376420443
1585479600,6177,6183,6127.5,6134.5,14.591683545443571
1585483200,6134.5,6144,6059.5,6115,13.269158268645972
1585486800,6115,6130,6092,6116,12.711206173352394
1585490400,6116,6142,6105,6135,13.544027125645195
1585494000,6135,6138.5,6114,6123,13.148087156462907
1585497600,6123,6153.5,6042,6083,11.50035624191387
1585501200,6083,6083.5,6047,6083,11.013767238303776
1585504800,6083,6083.5,6060,6060,10.699868817394734
1585508400,6060,6077,5873,5897,8.448773465876775
1585512000,5897,5950,5858,5936.5,7.665524782815102
1585515600,5936.5,5937,5880,5882,7.21899109835218
1585519200,5882,5934,5863.5,5909.5,6.699194019951421
1585522800,5909.5,5926.5,5873,5873,6.3268906197146535
1585526400,5873,5911,5841.5,5893,5.870472175125357
1585530000,5893,5936.5,5886.5,5932,8.25929752568405
1585533600,5932,6015.5,5931.5,5981.5,15.756985805327496
1585537200,5981.5,5998.5,5970.5,5996.5,15.277672125970298
1585540800,5996.5,6034.5,5983,6023.5,18.381976564726756
1585544400,6023.5,6240,6023.5,6196,34.043960026450144
1585548000,6196,6242.5,6167.5,6210,31.865744935215236
1585551600,6210,6321.5,6208,6238.5,35.775971686005406
1585555200,6238.5,6288,6238.5,6270.5,34.115719145287244
1585558800,6270.5,6278,6240.5,6246.5,32.8711794456689
1585562400,6246.5,6307,6245.5,6273,33.7357377618313
1585566000,6273,6386,6266.5,6358.5,37.37517076380725
1585569600,6358.5,6374.5,6285,6302.5,34.267910943260404
1585573200,6302.5,6338.5,6297.5,6302,32.91779631707872
1585576800,6302,6333,6274,6321.5,31.023587441276902
1585580400,6321.5,6430.5,6321.5,6336,37.0254642416657
1585584000,6336,6384.5,6306,6370.5,34.29323250674738
1585587600,6370.5,6379.5,6329.5,6351,32.64102048529159
1585591200,6351,6365,6327.5,6362.5,31.418411660259075
1585594800,6362.5,6399.5,6347.5,6364.5,33.26859194306714
1585598400,6364.5,6474.5,6363,6452,36.973781099707956
1585602000,6452,6545,6451.5,6525.5,40.417071557642664
1585605600,6525.5,6577.5,6448.5,6462,38.628433107311245
1585609200,6462,6473.5,6381.5,6389.5,35.431140008203805
1585612800,6389.5,6463.5,6381.5,6437,32.82337028529847
1585616400,6437,6509.5,6437,6507,34.82900360639296
